"Method Name","Status","DLT or Network","Authors","Link"
"did:abt:","PROVISIONAL","ABT Network","ArcBlock","ABT DID Method"
"did:btcr:","PROVISIONAL","Bitcoin","Christopher Allen, Ryan Grant, Kim Hamilton Duffy","BTCR DID Method"
"did:stack:","PROVISIONAL","Bitcoin","Jude Nelson","Blockstack DID Method"
"did:erc725:","PROVISIONAL","Ethereum","Markus Sabadello, Fabian Vogelsteller, Peter Kolarov","erc725 DID Method"
"did:example:","PROVISIONAL","DID Specification","W3C Credentials Community Group","DID Specification"
"did:ipid:","PROVISIONAL","IPFS","TranSendX","IPID DID method"
"did:life:","PROVISIONAL","RChain","lifeID Foundation","lifeID DID Method"
"did:sov:","PROVISIONAL","Sovrin","Mike Lodder","Sovrin DID Method"
"did:uport:","PROVISIONAL","Ethereum","uPort",
"did:v1:","PROVISIONAL","Veres One","Digital Bazaar","Veres One DID Method"
"did:dom:","PROVISIONAL","Ethereum","Dominode",
"did:ont:","PROVISIONAL","Ontology","Ontology Foundation","Ontology DID Method"
"did:vvo:","PROVISIONAL","Vivvo","Vivvo Application Studios","Vivvo DID Method"
"did:icon:","PROVISIONAL","ICON","ICON Foundation","ICON DID Method"
"did:iwt:","PROVISIONAL","InfoWallet","Raonsecure","InfoWallet DID Method"
"did:ockam:","PROVISIONAL","Ockam","Ockam","Ockam DID Method"
"did:ala:","PROVISIONAL","Alastria","Alastria National Blockchain Ecosystem","Alastria DID Method"
"did:op:","PROVISIONAL","Ocean Protocol","Ocean Protocol","Ocean Protocol DID Method"
"did:jlinc:","PROVISIONAL","JLINC Protocol","Victor Grey","JLINC Protocol DID Method"
"did:ion:","PROVISIONAL","Bitcoin","Various DIF contributors","ION DID Method"
"did:jolo:","PROVISIONAL","Ethereum","Jolocom","Jolocom DID Method"
"did:ethr:","PROVISIONAL","Ethereum","uPort","ETHR DID Method"
"did:bryk:","PROVISIONAL","bryk","Marcos Allende, Sandra Murcia, Flavia Munhoso, Ruben Cessa","bryk DID Method"
"did:peer:","PROVISIONAL","peer","Daniel Hardman","peer DID Method"
"did:selfkey:","PROVISIONAL","Ethereum","SelfKey","SelfKey DID Method"
"did:meta:","PROVISIONAL","Metadium","Metadium Foundation","Metadium DID Method"
"did:tys:","PROVISIONAL","DID Specification","Chainyard","TYS DID Method"
