"From","To","Type"
"Alacrity Software","rwot1","Sponsor"
"OIX","rwot1","Sponsor"
"PWC","rwot1","Sponsor"
"Respect Network","rwot1","Sponsor"
"Blockstack Public Benefit Corp","rwot2","Sponsor"
"Blockstream","rwot2","Sponsor"
"evernym","rwot2","Sponsor"
"IPFS","rwot2","Sponsor"
"Microsoft","rwot2","Sponsor"
"NETKI","rwot2","Sponsor"
"TIERION","rwot2","Sponsor"
"Blockstream","rwot3","Sponsor"
"Microsoft","rwot3","Sponsor"
"NETKI","rwot3","Sponsor"
"Protocol Labs","rwot3","Sponsor"
"TIERION","rwot3","Sponsor"
"AEvatar","rwot4","Sponsor"
"Blockstream","rwot4","Sponsor"
"Digital Contract Design","rwot4","Sponsor"
"Microsoft","rwot4","Sponsor"
"Protocol Labs","rwot4","Sponsor"
"U Change","rwot4","Sponsor"
"BigChainDB","rwot5","Sponsor"
"Blockchain Lab","rwot5","Sponsor"
"Digital Contract Design","rwot5","Sponsor"
"IDEO","rwot5","Sponsor"
"IPFS","rwot5","Sponsor"
"Protocol Labs","rwot5","Sponsor"
"Toni Lane Casserly","rwot5","Sponsor"
"PTB Holdings","rwot6","Sponsor"
"Sovrin Foundation","rwot6","Sponsor"
"an anonymous donor","rwot7","Sponsor"
"Civic","rwot7","Sponsor"
"HTC","rwot7","Sponsor"
"Microsoft","rwot7","Sponsor"
"PTB Ventures","rwot7","Sponsor"
"Sovrin Foundation","rwot7","Sponsor"
"Spherity","rwot7","Sponsor"
"TIERION","rwot7","Sponsor"
"Protocol Labs","rwot8","Sponsor"
