"Authors","DLT or Network","Link","Method Name","Status"
"ArcBlock","ABT Network","ABT DID Method","did:abt:","PROVISIONAL"
"Christopher Allen, Ryan Grant, Kim Hamilton Duffy","Bitcoin","BTCR DID Method","did:btcr:","PROVISIONAL"
"Jude Nelson","Bitcoin","Blockstack DID Method","did:stack:","PROVISIONAL"
"Markus Sabadello, Fabian Vogelsteller, Peter Kolarov","Ethereum","erc725 DID Method","did:erc725:","PROVISIONAL"
"W3C Credentials Community Group","DID Specification","DID Specification","did:example:","PROVISIONAL"
"TranSendX","IPFS","IPID DID method","did:ipid:","PROVISIONAL"
"lifeID Foundation","RChain","lifeID DID Method","did:life:","PROVISIONAL"
"Mike Lodder","Sovrin","Sovrin DID Method","did:sov:","PROVISIONAL"
"uPort","Ethereum",,"did:uport:","PROVISIONAL"
"Digital Bazaar","Veres One","Veres One DID Method","did:v1:","PROVISIONAL"
"Dominode","Ethereum",,"did:dom:","PROVISIONAL"
"Ontology Foundation","Ontology","Ontology DID Method","did:ont:","PROVISIONAL"
"Vivvo Application Studios","Vivvo","Vivvo DID Method","did:vvo:","PROVISIONAL"
"ICON Foundation","ICON","ICON DID Method","did:icon:","PROVISIONAL"
"Raonsecure","InfoWallet","InfoWallet DID Method","did:iwt:","PROVISIONAL"
"Ockam","Ockam","Ockam DID Method","did:ockam:","PROVISIONAL"
"Alastria National Blockchain Ecosystem","Alastria","Alastria DID Method","did:ala:","PROVISIONAL"
"Ocean Protocol","Ocean Protocol","Ocean Protocol DID Method","did:op:","PROVISIONAL"
"Victor Grey","JLINC Protocol","JLINC Protocol DID Method","did:jlinc:","PROVISIONAL"
"Various DIF contributors","Bitcoin","ION DID Method","did:ion:","PROVISIONAL"
"Jolocom","Ethereum","Jolocom DID Method","did:jolo:","PROVISIONAL"
"uPort","Ethereum","ETHR DID Method","did:ethr:","PROVISIONAL"
"Marcos Allende, Sandra Murcia, Flavia Munhoso, Ruben Cessa","bryk","bryk DID Method","did:bryk:","PROVISIONAL"
"Daniel Hardman","peer","peer DID Method","did:peer:","PROVISIONAL"
"SelfKey","Ethereum","SelfKey DID Method","did:selfkey:","PROVISIONAL"
"Metadium Foundation","Metadium","Metadium DID Method","did:meta:","PROVISIONAL"
"Chainyard","DID Specification","TYS DID Method","did:tys:","PROVISIONAL"
